,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,65.599459565668,-27.919684702371235,149.6285320718866,65.599459565668,65.599459565668,-5.86468472730286,-5.86468472730286,-5.86468472730286,-5.86468472730286,-5.86468472730286,-5.86468472730286,0.0,0.0,0.0,59.73477483836514
1,2020-03-17,67.39495038061956,-24.15066868917017,144.7437379381619,67.39495038061956,67.39495038061956,-2.383379579207038,-2.383379579207038,-2.383379579207038,-2.383379579207038,-2.383379579207038,-2.383379579207038,0.0,0.0,0.0,65.01157080141252
2,2020-03-18,69.19044119557113,-18.625321467022275,145.1464515890141,69.19044119557113,69.19044119557113,-3.494359992081305,-3.494359992081305,-3.494359992081305,-3.494359992081305,-3.494359992081305,-3.494359992081305,0.0,0.0,0.0,65.69608120348983
3,2020-03-19,70.98593201052269,-20.3699714571562,155.30627857957958,70.98593201052269,70.98593201052269,-3.843578695301523,-3.843578695301523,-3.843578695301523,-3.843578695301523,-3.843578695301523,-3.843578695301523,0.0,0.0,0.0,67.14235331522117
4,2020-03-20,72.78142282547425,-18.5307460307958,148.753436028447,72.78142282547425,72.78142282547425,-7.762546552088756,-7.762546552088756,-7.762546552088756,-7.762546552088756,-7.762546552088756,-7.762546552088756,0.0,0.0,0.0,65.0188762733855
5,2020-03-23,78.16789527032894,-12.919646888609881,157.21810509198326,78.16789527032894,78.16789527032894,-5.864684727295866,-5.864684727295866,-5.864684727295866,-5.864684727295866,-5.864684727295866,-5.864684727295866,0.0,0.0,0.0,72.30321054303307
6,2020-03-24,79.96338608528049,-11.235516545455987,160.36505137733866,79.96338608528049,79.96338608528049,-2.383379579187213,-2.383379579187213,-2.383379579187213,-2.383379579187213,-2.383379579187213,-2.383379579187213,0.0,0.0,0.0,77.58000650609328
7,2020-03-25,81.75887690023207,2.4053247821054127,168.08147024464324,81.75887690023207,81.75887690023207,-3.49435999207814,-3.49435999207814,-3.49435999207814,-3.49435999207814,-3.49435999207814,-3.49435999207814,0.0,0.0,0.0,78.26451690815392
8,2020-03-26,83.55436771518362,-2.3143819404493784,165.13879254892518,83.55436771518362,83.55436771518362,-3.843578695318042,-3.843578695318042,-3.843578695318042,-3.843578695318042,-3.843578695318042,-3.843578695318042,0.0,0.0,0.0,79.71078901986557
9,2020-03-27,85.34985852923225,-14.506027141827795,166.36907791615465,85.34985852923225,85.34985852923225,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,0.0,0.0,0.0,77.58731197715657
10,2020-03-30,90.73633097137811,0.030161324976938846,165.71632734992718,90.73633097137811,90.73633097137811,-5.864684727288874,-5.864684727288874,-5.864684727288874,-5.864684727288874,-5.864684727288874,-5.864684727288874,0.0,0.0,0.0,84.87164624408923
11,2020-03-31,92.53182178542673,1.1141967294490038,179.7085347396723,92.53182178542673,92.53182178542673,-2.383379579219281,-2.383379579219281,-2.383379579219281,-2.383379579219281,-2.383379579219281,-2.383379579219281,0.0,0.0,0.0,90.14844220620745
12,2020-04-01,94.32731259947536,4.2337671676146655,172.9578229865165,94.32731259947536,94.32731259947536,-3.494359992079336,-3.494359992079336,-3.494359992079336,-3.494359992079336,-3.494359992079336,-3.494359992079336,0.0,0.0,0.0,90.83295260739602
13,2020-04-02,96.12280341352398,5.894849949825736,169.77179867034656,96.12280341352398,96.12280341352398,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,0.0,0.0,0.0,92.27922471820712
